id,title,originalTitle,slug,year,duration,countryOfOrigin,languages,director_id,cast,editing,tags_en,tags_it,format,image,music,originalVersion,photography,producers,production,screenplay,section,sound,synopsis_it,synopsis_en,tone,version
f03,Schindler's List,Schindler's List,schindler list,1993,195,"uk,de,pl","en,de,pl",d03,"Liam Neeson,Ralph Fiennes,Ben Kingsley",Michael Kahn,"Animated Shorts, Docu-Drama, Audience Award Winner, Midnight Screening, Restored Classics, Indigenous Voices"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/schindlers_list.jpg,"John Williams",true,Natasha Braier,"Steven Spielberg,Gerald R. Molen","Universal Pictures","Steven Zaillian",ic,"Gary Rydstrom","Oskar Schindler (Liam Neeson), carismatico imprenditore tedesco e membro opportunista del Partito Nazista, giunge a Cracovia nel 1939 con l’intento di fare fortuna grazie alla guerra. Impiegando lavoratori ebrei nella sua fabbrica di smalti, assiste alla brutale liquidazione del ghetto di Cracovia e agli orrori del campo di lavoro di Płaszów sotto il comando di Amon Göth (Ralph Fiennes). Toccato dal coraggio e dalla sofferenza dei suoi operai, Schindler rischia tutto per stilare una lista di oltre 1.100 “lavoratori indispensabili”, pagando tangenti agli ufficiali delle SS e falsificando documenti per salvarli da una morte certa. Il capolavoro in bianco e nero di Steven Spielberg è al tempo stesso un ritratto straziante dell’Olocausto e un tributo al risveglio morale di un uomo—esaltato dalla compassione misurata di Neeson, dalla crudeltà glaciale di Fiennes e dalla colonna sonora toccante di John Williams.","Oskar Schindler (Liam Neeson), a charismatic German industrialist and opportunistic member of the Nazi Party, arrives in Kraków in 1939 hoping to profit from the war. As he employs Jewish workers in his enamelware factory, he witnesses the brutal liquidation of the Kraków Ghetto and the horrors of Plaszów labor camp under commandant Amon Göth (Ralph Fiennes). Moved by the courage and suffering of his Jewish employees, Schindler risks everything to compile a list of more than 1,100 “essential” workers, bribing SS officers and forging documents to save them from certain death. Steven Spielberg’s black-and-white masterwork is at once a harrowing portrait of the Holocaust and a testament to one man’s moral awakening—elevated by Neeson’s restrained compassion, Fiennes’s chilling cruelty, and John Williams’s soul-piercing score.",black-and-white,if
f13,The Fellowship of the Ring,The Fellowship of the Ring,fellowship ring,2001,178,"bz,bn,cl","en,quenya",d13,"Elijah Wood,Ian McKellen,Viggo Mortensen",John Gilbert,"Animated Shorts, Docu-Drama, Audience Award Winner, Midnight Screening, Restored Classics, Indigenous Voices"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/lotr_fellowship.jpg,"Howard Shore",true,"Janusz Kamiński, Robert Richardson","Peter Jackson,Barrie M. Osborne","WingNut Films","Peter Jackson,Fran Walsh,Philippa Boyens",ic,"Christopher Boyes","Nella tranquilla Contea, il giovane hobbit Frodo Baggins (Elijah Wood) eredita dal prozio Bilbo un anello apparentemente innocuo. Gandalf il Grigio (Ian McKellen) scopre che si tratta dell’Unico Anello, forgiato dal Signore Oscuro Sauron per soggiogare tutta la Terra di Mezzo. Per fermare la tirannia di Sauron, Frodo deve intraprendere il pericoloso viaggio verso il Monte Fato e distruggere l’Anello nel luogo della sua creazione. Accompagnato dai fedeli amici Samvise “Sam” Gamgee (Sean Astin), Meriadoc “Merry” Brandybuck (Dominic Monaghan) e Peregrino “Pippin” Tuc (Billy Boyd), raggiunge il rifugio elfico di Gran Burrone. Qui si forma la Compagnia dell’Anello, composta da nove membri: Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) e lo stesso Gandalf, con il compito di proteggere Frodo e guidarlo attraverso terre insidiose. Dalle oscure Miniere di Moria alle misteriose foreste di Lothlórien, la Compagnia affronta orde di Orchi, antichi pericoli e i propri dubbi interiori. Giunti alle Cascate di Rauros, la debolezza di Boromir infrange l’unità del gruppo, spingendo Frodo e Sam su un cammino solitario. ","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,if
f05,The Godfather,The Godfather,godfather,1972,175,ck,"en,it",d05,"Marlon Brando,Al Pacino,James Caan","William Reynolds,Peter Zinner","Crime,Drama","Action,Sci-Fi,Thriller",2D,/images/the_godfather.jpg,"Nino Rota",true,"Franco Di Giacomo, Robert Richardson, Hélène Louvart","Albert S. Ruddy","Paramount Pictures","Mario Puzo,Francis Ford Coppola",ic,"Walter Murch","Don Vito Corleone (Marlon Brando), a capo della potente famiglia mafiosa Corleone di New York, governa il suo impero con spietata precisione e antico senso dell’onore. Quando un boss rivale tenta di ucciderlo, Michael (Al Pacino)—decorato Marine nella Seconda Guerra Mondiale—si trova costretto a entrare nell’attività di famiglia per proteggere il padre. Organizzando una vendetta audace, Michael si trasforma da innocente estraneo in erede spietato. Capolavoro di Francis Ford Coppola, Il Padrino racconta la lotta dei Corleone tra lealtà, potere e tradizione, dai retrobottega oscuri del loro negozio di olio d’oliva alle assolati vigne di Sicilia. Grazie all’interpretazione indimenticabile di Brando e all’intensità silenziosa di Pacino, Il Padrino resta un’epica storia di ambizione, tradimento e del prezzo di un’eredità.","Don Vito Corleone (Marlon Brando), head of New York’s powerful Corleone crime family, oversees his empire with a blend of ruthless precision and old-world honor. When a rival mob boss attempts to assassinate him, Vito’s youngest son, Michael (Al Pacino)—a decorated World War II Marine—reluctantly steps into the family business to protect his father. As Michael orchestrates a daring reprisal, he transforms from innocent outsider into a calculating heir. Francis Ford Coppola’s masterpiece chronicles the Corleones’ struggle to balance loyalty, power, and tradition, from the shadowy backrooms of their olive-oil front to the sun-drenched vineyards of Sicily. Elevated by Brando’s haunting performance and Pacino’s quiet intensity, The Godfather remains an epic tale of ambition, betrayal, and the cost of legacy.",color,if
f10,La Dolce Vita,La Dolce Vita,dolce vita,1960,174,"sv,fi,ge","it,fr",d10,"Marcello Mastroianni,Anita Ekberg,Anouk Aimée",Leo Catozzo,"Animated Shorts, Docu-Drama, Audience Award Winner, Midnight Screening, Restored Classics, Indigenous Voices"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/la_dolce_vita.jpg,"Nino Rota",true,"Franco Di Giacomo, Robert Richardson, Hélène Louvart","Franco Cristaldi","Riccardo Gualino","Ennio Flaiano,Tullio Pinelli,Federico Fellini",ic,"Ennio Morricone","In La Dolce Vita di Federico Fellini, il giornalista di cronaca mondana Marcello Rubini (Marcello Mastroianni) vaga nella vita notturna di Roma, fra feste sfavillanti e pettegolezzi, alla ricerca di qualcosa di più profondo. Dai party notturni a Villa Borghese con Sylvia (Anita Ekberg) alle strade vuote all’alba, gli incontri di Marcello svelano il fascino e il vuoto della città. Ritratto caleidoscopico di un’anima inquieta, il film unisce episodi surreali e umorismo amaro per raccontare l’esaltazione — e l’alienazione — di chi insegue “la dolce vita.”","A week in the life of a jaded journalist searching for love and meaning in Rome’s high society.In Federico Fellini’s iconic La Dolce Vita, tabloid journalist Marcello Rubini (Marcello Mastroianni) drifts through Rome’s decadent nightlife in search of meaning beyond gossip and glamour. From moonlit villa parties with Sylvia (Anita Ekberg) to the empty grandeur of dawn-lit streets, Marcello’s encounters reveal the city’s seductive veneer and underlying emptiness. A kaleidoscopic portrait of a restless soul, the film blends surreal episodes and bittersweet humor to capture the exhilaration—and alienation—of a generation chasing “the sweet life.”",black-and-white,omiu
f16,2001: A Space Odyssey,2001: A Space Odyssey,2001 odyssey,1968,149,"gu","en,ru",d16,"Keir Dullea,Gary Lockwood,William Sylvester",Ray Lovejoy,"Adventure,Sci-Fi"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/2001_space_odyssey.jpg,"Alex North",true,"Bradford Young, Seamus McGarvey, Natasha Braier, Gordon Willis","Stanley Kubrick","Metro-Goldwyn-Mayer","Stanley Kubrick,Arthur C. Clarke",ic,"Douglas Grindstaff","L’epico sci-fi di Stanley Kubrick del 1968 inizia con ominidi preistorici che scoprono un misterioso monolito, scatenando un balzo evolutivo. Millenni dopo, sull’astronave Discovery One diretta verso Giove, gli astronauti Dave Bowman e Frank Poole sono assistiti—and minacciati—dal computer di bordo HAL 9000. Quando HAL si guasta, Bowman affronta i pericoli dell’intelligenza artificiale e, giunto a un secondo monolito, intraprende un viaggio mentale oltre il tempo e lo spazio. Le immagini visionarie di Kubrick e i dialoghi essenziali offrono una riflessione contemplativa sull’evoluzione umana, la tecnologia e l’infinito. Gli effetti speciali rivoluzionari e la colonna sonora iconica rafforzano il tema della scoperta cosmica.","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,omiu
f02,Inception,Inception,inception,2010,148,gt,"en,ja,fr",d02,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",Lee Smith,"Action,Sci-Fi,Thriller"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",IMAX,/images/inception.jpg,"Hans Zimmer",true,"Gherardo Gossi, Franco Di Giacomo, Alessio Gelsini Torresi","Emma Thomas,Christopher Nolan","Warner Bros.,Legendary Pictures","Christopher Nolan",ooc,"Richard King","L’epico sci-fi di Stanley Kubrick del 1968 inizia con ominidi preistorici che scoprono un misterioso monolito, scatenando un balzo evolutivo. Millenni dopo, sull’astronave Discovery One diretta verso Giove, gli astronauti Dave Bowman e Frank Poole sono assistiti—and minacciati—dal computer di bordo HAL 9000. Quando HAL si guasta, Bowman affronta i pericoli dell’intelligenza artificiale e, giunto a un secondo monolito, intraprende un viaggio mentale oltre il tempo e lo spazio. Le immagini visionarie di Kubrick e i dialoghi essenziali offrono una riflessione contemplativa sull’evoluzione umana, la tecnologia e l’infinito. Gli effetti speciali rivoluzionari e la colonna sonora iconica rafforzano il tema della scoperta cosmica.","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,omeu
f14,The Matrix,The Matrix,matrix,1999,136,jp,"en",d14,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",Zach Staenberg,"Action,Sci-FiAnimated Shorts, Docu-Drama, Audience Award Winner, Midnight Screening, Restored Classics, Indigenous Voices"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/the_matrix.jpg,"Don Davis",true,"Luca Bigazzi, Greig Fraser, Gordon Willis","Joel Silver","Warner Bros.","Lana Wachowski,Lilly Wachowski",ic,"David E. Campbell","L’epico sci-fi di Stanley Kubrick del 1968 inizia con ominidi preistorici che scoprono un misterioso monolito, scatenando un balzo evolutivo. Millenni dopo, sull’astronave Discovery One diretta verso Giove, gli astronauti Dave Bowman e Frank Poole sono assistiti—and minacciati—dal computer di bordo HAL 9000. Quando HAL si guasta, Bowman affronta i pericoli dell’intelligenza artificiale e, giunto a un secondo monolito, intraprende un viaggio mentale oltre il tempo e lo spazio. Le immagini visionarie di Kubrick e i dialoghi essenziali offrono una riflessione contemplativa sull’evoluzione umana, la tecnologia e l’infinito. Gli effetti speciali rivoluzionari e la colonna sonora iconica rafforzano il tema della scoperta cosmica.","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,omiu
f01,Parasite,Gisaengchung,parasite,2019,132,kz,"ko,en",d01,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",Jinmo Yang,"Thriller,Drama"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/parasite.jpg,"Jung Jae-il",true,"Daniele Nannuzzi, Marco Onorato, Giuseppe Rotunno","Kwak Sin-ae,Moon Yang-kyung","Barunson E&A","Bong Joon-ho,Han Jin-won",ic,"Lee Seong-woo","L’epico sci-fi di Stanley Kubrick del 1968 inizia con ominidi preistorici che scoprono un misterioso monolito, scatenando un balzo evolutivo. Millenni dopo, sull’astronave Discovery One diretta verso Giove, gli astronauti Dave Bowman e Frank Poole sono assistiti—and minacciati—dal computer di bordo HAL 9000. Quando HAL si guasta, Bowman affronta i pericoli dell’intelligenza artificiale e, giunto a un secondo monolito, intraprende un viaggio mentale oltre il tempo e lo spazio. Le immagini visionarie di Kubrick e i dialoghi essenziali offrono una riflessione contemplativa sull’evoluzione umana, la tecnologia e l’infinito. Gli effetti speciali rivoluzionari e la colonna sonora iconica rafforzano il tema della scoperta cosmica.","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,omeu
f11,City of God,Cidade de Deus,city god,2002,130,nh,"pt,en",d11,"Alexandre Rodrigues,Leandro Firmino,Seu Jorge",Daniel Rezende,"International Premiere, World Cinema, LGBTQ+ Stories","Prima Internazionale, Cinema Mondiale, Storie LGBTQ+",2D,/images/city_of_god.jpg,"Antonio Pinto",true,"Daniele Nannuzzi, Marco Onorato, Giuseppe Rotunno","Andrea Barata Ribeiro,Lucy Mockridge","O2 Filmes","Bráulio Mantovani",ooc,"Ricardo Reis","L’epico sci-fi di Stanley Kubrick del 1968 inizia con ominidi preistorici che scoprono un misterioso monolito, scatenando un balzo evolutivo. Millenni dopo, sull’astronave Discovery One diretta verso Giove, gli astronauti Dave Bowman e Frank Poole sono assistiti—and minacciati—dal computer di bordo HAL 9000. Quando HAL si guasta, Bowman affronta i pericoli dell’intelligenza artificiale e, giunto a un secondo monolito, intraprende un viaggio mentale oltre il tempo e lo spazio. Le immagini visionarie di Kubrick e i dialoghi essenziali offrono una riflessione contemplativa sull’evoluzione umana, la tecnologia e l’infinito. Gli effetti speciali rivoluzionari e la colonna sonora iconica rafforzano il tema della scoperta cosmica.","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,omeu
f06,Spirited Away,Sen to Chihiro no Kamikakushi,spirited away,2001,125,"mr,mz,nu","ja,en",d06,"Rumi Hiiragi,Miyu Irino,Mari Natsuki",Takeshi Seyama,"Animation,Adventure,Family"," Cortometraggi Animati, Docu-Drama, Premio del Pubblico, Proiezione di Mezzanotte, Classici Restaurati, Voci Indigene",2D,/images/spirited_away.jpg,"Joe Hisaishi",true,"Daniele Nannuzzi, Marco Onorato, Giuseppe Rotunno","Toshio Suzuki","Studio Ghibli","Hayao Miyazaki",ic,"Shigeharu Shiba","L’epico sci-fi di Stanley Kubrick del 1968 inizia con ominidi preistorici che scoprono un misterioso monolito, scatenando un balzo evolutivo. Millenni dopo, sull’astronave Discovery One diretta verso Giove, gli astronauti Dave Bowman e Frank Poole sono assistiti—and minacciati—dal computer di bordo HAL 9000. Quando HAL si guasta, Bowman affronta i pericoli dell’intelligenza artificiale e, giunto a un secondo monolito, intraprende un viaggio mentale oltre il tempo e lo spazio. Le immagini visionarie di Kubrick e i dialoghi essenziali offrono una riflessione contemplativa sull’evoluzione umana, la tecnologia e l’infinito. Gli effetti speciali rivoluzionari e la colonna sonora iconica rafforzano il tema della scoperta cosmica.","In the peaceful Shire, young hobbit Frodo Baggins (Elijah Wood) inherits a seemingly innocuous golden ring from his uncle Bilbo. Gandalf the Grey (Ian McKellen) discovers that it is the One Ring, forged by the Dark Lord Sauron to enslave Middle-earth. To prevent Sauron’s tyranny, Frodo must journey to Mount Doom and destroy the Ring in the very fires of its creation. Joined by loyal friends Samwise Gamgee (Sean Astin), Merry (Dominic Monaghan) and Pippin (Billy Boyd), he travels to the elven refuge of Rivendell. There, a nine-member Fellowship is formed—Aragorn (Viggo Mortensen), Legolas (Orlando Bloom), Gimli (John Rhys-Davies), Boromir (Sean Bean) and Gandalf—sworn to protect Frodo and guide him through perilous lands. From the treacherous Mines of Moria to the enchanted forests of Lothlórien, the Fellowship faces Orc hordes, ancient evils, and internal doubt. As they reach the Falls of Rauros, Boromir’s faltering will fractures the group, setting Frodo and Sam on a lonely path. Peter Jackson’s epic adaptation of J.R.R. Tolkien’s beloved novel blends sweeping landscapes, thrilling battle sequences, and the quiet courage of a hobbit tasked with the fate of the world.",color,omiu
